epoch,phase,train_loss,dev_roc_auc,dev_pr_auc,dev_accuracy,dev_f1,dev_precision,dev_recall,dev_fpr,dev_fnr,tp,tn,fp,fn,sd13_recall,sd14_recall,sd2_recall,firefly_recall,dalle2_recall,pixel_fpr,iphone_fpr,whatsapp_f1,peak_vram_mb
1,phase1,0.6601598185551909,0.8634855250066733,0.8632526654298611,0.7795566502463054,0.7861409796893668,0.7633410672853829,0.8103448275862069,0.2512315270935961,0.1896551724137931,329,304,102,77,0.8809523809523809,0.8214285714285714,0.7755102040816326,0.6714285714285714,0.7321428571428571,0.11224489795918367,0.2857142857142857,0.8,270.88128
2,phase1,0.4122045892285085,0.9061036424082118,0.9024990733027294,0.8140394088669951,0.8286038592508513,0.7684210526315789,0.8990147783251231,0.270935960591133,0.10098522167487685,365,296,110,41,0.9404761904761905,0.9642857142857143,0.8775510204081632,0.8142857142857143,0.8035714285714286,0.1836734693877551,0.2857142857142857,0.8166666666666667,270.88128
3,phase2,0.33330718813388993,0.9433982867820137,0.9381494498485015,0.8620689655172413,0.8653846153846154,0.8450704225352113,0.8866995073891626,0.1625615763546798,0.11330049261083744,360,340,66,46,0.9404761904761905,0.9047619047619048,0.9183673469387755,0.8571428571428571,0.7857142857142857,0.05102040816326531,0.17714285714285713,0.8717948717948718,2396.57216
4,phase2,0.26624348627401107,0.9529198718726491,0.9499194163624135,0.8817733990147784,0.8883720930232558,0.8414096916299559,0.9408866995073891,0.17733990147783252,0.059113300492610835,382,334,72,24,0.9285714285714286,0.9880952380952381,0.9183673469387755,0.9714285714285714,0.875,0.04081632653061224,0.2057142857142857,0.8852459016393444,2396.57216
5,phase2,0.22767290365580875,0.9563080880390206,0.9542292567858677,0.8780788177339901,0.8828402366863906,0.8496583143507973,0.9187192118226601,0.1625615763546798,0.0812807881773399,373,340,66,33,0.9404761904761905,0.9404761904761905,0.8571428571428571,0.9285714285714286,0.875,0.02040816326530612,0.2057142857142857,0.8907563025210085,2396.57216
