filename,ground_truth,width,height,file_size_kb,jpeg_quality_est,blockiness_score,native_hf_energy,e6c_prob,e6c_global_prob,e6c_strongest_local_prob,e6c_pred,e6c_correct,e8b_prob,e8b_global_prob,e8b_strongest_local_prob,e8b_pred,e8b_correct
WhatsApp Image 2026-09-17 at 3.44.11 PM (4).jpeg,REAL,720,1280,59.04,75.0,1.4284000396728516,0.000686,0.0,0.0,0.0,REAL,1,0.0004,0.0001,0.0481,REAL,1
WhatsApp Image 2026-09-17 at 3.44.11 PM (5).jpeg,REAL,960,1280,210.32,75.0,1.1223000288009644,0.016426,0.1712,0.5242,0.834,REAL,1,0.1296,0.6833,0.8318,REAL,1
WhatsApp Image 2026-09-17 at 3.44.11 PM (7).jpeg,REAL,960,1280,107.05,75.0,1.4151999950408936,0.000328,0.0073,0.0063,0.0806,REAL,1,0.0093,0.0023,0.2076,REAL,1
WhatsApp Image 2026-09-17 at 3.44.11 PM (8).jpeg,REAL,960,1280,180.31,75.0,1.2128000259399414,0.002722,0.0468,0.2406,0.1015,REAL,1,0.0932,0.4142,0.1671,REAL,1
WhatsApp Image 2026-09-17 at 3.44.11 PM.jpeg,REAL,720,1280,79.09,75.0,1.569000005722046,0.000664,0.0073,0.0348,0.0221,REAL,1,0.0471,0.0369,0.2305,REAL,1
WhatsApp Image 2026-09-17 at 3.50.51 PM.jpeg,AI,592,1280,125.6,75.0,1.2187999486923218,0.000697,0.239,0.2709,0.7448,REAL,0,0.3468,0.8824,0.413,REAL,0
WhatsApp Image 2026-09-17 at 3.56.02 PM (1).jpeg,AI,1280,720,128.92,75.0,1.253600001335144,0.004244,0.0686,0.0043,0.6646,REAL,0,0.0198,0.0001,0.7528,REAL,0
WhatsApp Image 2026-09-17 at 3.56.02 PM (2).jpeg,AI,592,1280,95.81,75.0,1.2340999841690063,0.003857,0.18,0.6553,0.6123,REAL,0,0.3725,0.9356,0.8606,REAL,0
WhatsApp Image 2026-09-17 at 3.56.02 PM (3).jpeg,AI,719,1280,84.96,75.0,1.3890000581741333,0.001034,0.7363,0.9642,0.8005,AI,1,0.8899,0.984,0.9509,AI,1
WhatsApp Image 2026-09-17 at 3.56.02 PM.jpeg,AI,592,1280,66.89,75.0,1.385699987411499,0.000662,0.0796,0.7011,0.0967,REAL,0,0.4132,0.3936,0.6718,REAL,0
WhatsApp Image 2026-09-17 at 4.13.17 PM (1).jpeg,AI,720,1280,161.94,75.0,1.1312999725341797,0.015121,0.0029,0.012,0.0096,REAL,0,0.0029,0.0003,0.0169,REAL,0
WhatsApp Image 2026-09-17 at 4.13.17 PM (2).jpeg,AI,720,1280,138.09,75.0,1.1282999515533447,0.009515,0.805,0.8098,0.8953,AI,1,0.9156,0.9768,0.9649,AI,1
WhatsApp Image 2026-09-17 at 4.13.17 PM (3).jpeg,AI,960,1280,208.71,75.0,1.142799973487854,0.012518,0.7318,0.5067,0.88,AI,1,0.8286,0.413,0.9889,AI,1
WhatsApp Image 2026-09-17 at 4.13.17 PM (4).jpeg,AI,960,1280,149.68,75.0,1.253600001335144,0.00314,0.1699,0.4426,0.3291,REAL,0,0.3201,0.3467,0.4254,REAL,0
WhatsApp Image 2026-09-17 at 4.13.17 PM (5).jpeg,AI,720,1280,94.5,75.0,1.3078999519348145,0.001419,0.5517,0.4665,0.9535,AI,1,0.6695,0.2758,0.9871,AI,1
WhatsApp Image 2026-09-17 at 4.13.17 PM.jpeg,AI,720,1280,59.97,75.0,1.5628999471664429,0.00207,0.0001,0.0006,0.0004,REAL,0,0.0097,0.001,0.0704,REAL,0
WhatsApp Image 2026-09-17 at 4.13.18 PM (1).jpeg,AI,1042,1280,145.01,75.0,1.4290000200271606,0.000435,0.678,0.3506,0.9602,AI,1,0.757,0.5797,0.9422,AI,1
WhatsApp Image 2026-09-17 at 4.13.18 PM (2).jpeg,AI,1280,960,98.36,75.0,1.4809999465942383,0.000633,0.1694,0.0525,0.8371,REAL,0,0.7692,0.7962,0.9208,AI,1
WhatsApp Image 2026-09-17 at 4.13.18 PM (3).jpeg,AI,960,1280,203.75,75.0,1.2055000066757202,0.002227,0.2781,0.7276,0.5879,REAL,0,0.9867,0.9977,0.9957,AI,1
WhatsApp Image 2026-09-17 at 4.13.18 PM (4).jpeg,AI,720,1280,114.05,75.0,1.212499976158142,0.003817,0.0566,0.1099,0.1307,REAL,0,0.0558,0.0058,0.4453,REAL,0
WhatsApp Image 2026-09-17 at 4.13.18 PM (5).jpeg,AI,960,1280,155.81,75.0,1.3242000341415405,0.001095,0.9235,0.9682,0.9926,AI,1,0.9964,0.999,0.9999,AI,1
WhatsApp Image 2026-09-17 at 4.13.18 PM (6).jpeg,AI,720,1280,206.21,75.0,1.0607000589370728,0.018161,0.6134,0.0778,0.9321,AI,1,0.9404,0.8877,0.9938,AI,1
WhatsApp Image 2026-09-17 at 4.13.18 PM.jpeg,AI,960,1280,145.49,75.0,1.263200044631958,0.000823,0.4772,0.9086,0.7315,REAL,0,0.3898,0.846,0.891,REAL,0
WhatsApp Image 2026-09-17 at 4.28.11 PM (1).jpeg,AI,977,1280,129.24,75.0,1.4193999767303467,0.000538,0.5728,0.7164,0.8046,AI,1,0.6821,0.6274,0.9076,AI,1
WhatsApp Image 2026-09-17 at 4.28.11 PM (2).jpeg,AI,960,1280,110.57,75.0,1.3515000343322754,0.001381,0.0047,0.0101,0.6406,REAL,0,0.0563,0.0128,0.9783,REAL,0
WhatsApp Image 2026-09-17 at 4.28.11 PM (3).jpeg,AI,960,1280,154.8,75.0,1.2783000469207764,0.00114,0.0016,0.0009,0.0118,REAL,0,0.0046,0.0002,0.247,REAL,0
WhatsApp Image 2026-09-17 at 4.28.11 PM (4).jpeg,AI,960,1280,60.05,75.0,2.0824999809265137,0.00185,0.0021,0.0186,0.0032,REAL,0,0.4262,0.6097,0.874,REAL,0
WhatsApp Image 2026-09-17 at 4.28.11 PM (5).jpeg,AI,959,1280,102.39,75.0,1.4958000183105469,0.000452,0.0837,0.0074,0.8199,REAL,0,0.0718,0.0042,0.7493,REAL,0
WhatsApp Image 2026-09-17 at 4.28.11 PM (6).jpeg,AI,960,1280,126.69,75.0,1.3497999906539917,0.00156,0.3284,0.4797,0.8238,REAL,0,0.6556,0.737,0.9518,AI,1
WhatsApp Image 2026-09-17 at 4.28.11 PM (7).jpeg,AI,960,1280,270.94,75.0,1.113800048828125,0.006077,0.006,0.0006,0.0595,REAL,0,0.0305,0.0007,0.1286,REAL,0
WhatsApp Image 2026-09-17 at 4.28.11 PM.jpeg,AI,960,1280,139.17,75.0,1.3207999467849731,0.001946,0.0149,0.3682,0.0195,REAL,0,0.3021,0.9368,0.2798,REAL,0
WhatsApp Image 2026-09-17 at 4.31.09 PM.jpeg,AI,904,1280,115.58,75.0,1.4257999658584595,0.000454,0.1063,0.3319,0.2092,REAL,0,0.2232,0.8057,0.5463,REAL,0
WhatsApp Image 2026-09-17 at 4.37.12 PM (1).jpeg,AI,960,1280,105.52,75.0,1.4483000040054321,0.000509,0.0022,0.0421,0.1756,REAL,0,0.0305,0.0583,0.5781,REAL,0
WhatsApp Image 2026-09-17 at 4.37.12 PM (2).jpeg,AI,960,1280,201.87,75.0,1.1726000308990479,0.002933,0.3809,0.7823,0.7785,REAL,0,0.6298,0.9786,0.9415,AI,1
WhatsApp Image 2026-09-17 at 4.37.12 PM (3).jpeg,AI,630,1280,53.3,75.0,1.4280999898910522,0.000423,0.0019,0.0006,0.0075,REAL,0,0.4665,0.1653,0.752,REAL,0
WhatsApp Image 2026-09-17 at 4.37.12 PM.jpeg,AI,720,1280,18.93,75.0,5.883600234985352,0.000492,0.0007,0.0012,0.0495,REAL,0,0.5676,0.9195,0.9116,AI,1
WhatsApp Image 2026-09-17 at 4.39.57 PM (1).jpeg,AI,960,1280,249.47,75.0,1.1411999464035034,0.002853,0.8717,0.0982,0.9586,AI,1,0.9366,0.0736,0.9952,AI,1
WhatsApp Image 2026-09-17 at 4.39.57 PM.jpeg,AI,720,1280,71.85,75.0,1.4063999652862549,0.000965,0.04,0.0255,0.2531,REAL,0,0.1988,0.1527,0.5422,REAL,0
