group_field,group_value,n,n_real,n_ai,e6c_acc,e20_acc,e21_acc,e22_acc,e22_f1,e6c_recall,e20_recall,e21_recall,e22_recall,e6c_fpr,e20_fpr,e21_fpr,e22_fpr
generator,camera,300,300,0,0.88,0.9633333333333334,0.37,0.42333333333333334,0.0,,,,,0.12,0.03666666666666667,0.63,0.5766666666666667
generator,dalle2,42,0,42,0.21428571428571427,0.14285714285714285,0.9285714285714286,0.9047619047619048,0.9500000000000001,0.21428571428571427,0.14285714285714285,0.9285714285714286,0.9047619047619048,,,,
generator,dalle3,18,0,18,0.8333333333333334,0.7222222222222222,1.0,1.0,1.0,0.8333333333333334,0.7222222222222222,1.0,1.0,,,,
generator,firefly,42,0,42,0.2857142857142857,0.21428571428571427,0.8095238095238095,0.7857142857142857,0.88,0.2857142857142857,0.21428571428571427,0.8095238095238095,0.7857142857142857,,,,
generator,glide,39,0,39,0.41025641025641024,0.3076923076923077,0.9487179487179487,0.9230769230769231,0.9600000000000001,0.41025641025641024,0.3076923076923077,0.9487179487179487,0.9230769230769231,,,,
generator,midjourney-v5,36,0,36,0.5,0.5555555555555556,0.8611111111111112,0.8611111111111112,0.9253731343283582,0.5,0.5555555555555556,0.8611111111111112,0.8611111111111112,,,,
generator,stable-diffusion-1-3,42,0,42,0.2857142857142857,0.14285714285714285,0.8095238095238095,0.7857142857142857,0.88,0.2857142857142857,0.14285714285714285,0.8095238095238095,0.7857142857142857,,,,
generator,stable-diffusion-1-4,36,0,36,0.6944444444444444,0.4166666666666667,0.9166666666666666,0.9166666666666666,0.9565217391304348,0.6944444444444444,0.4166666666666667,0.9166666666666666,0.9166666666666666,,,,
generator,stable-diffusion-2,45,0,45,0.5333333333333333,0.3333333333333333,0.9333333333333333,0.9333333333333333,0.9655172413793104,0.5333333333333333,0.3333333333333333,0.9333333333333333,0.9333333333333333,,,,
