group_field,group_value,n,n_real,n_ai,e6c_acc,e20_acc,e21_acc,e22_acc,e22_f1,e6c_recall,e20_recall,e21_recall,e22_recall,e6c_fpr,e20_fpr,e21_fpr,e22_fpr
generator,camera,100,100,0,0.77,0.96,0.33,0.41,0.0,,,,,0.23,0.04,0.67,0.59
generator,dalle2,14,0,14,0.42857142857142855,0.14285714285714285,0.9285714285714286,0.9285714285714286,0.962962962962963,0.42857142857142855,0.14285714285714285,0.9285714285714286,0.9285714285714286,,,,
generator,dalle3,6,0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
generator,firefly,14,0,14,0.42857142857142855,0.21428571428571427,0.8571428571428571,0.8571428571428571,0.923076923076923,0.42857142857142855,0.21428571428571427,0.8571428571428571,0.8571428571428571,,,,
generator,glide,13,0,13,0.9230769230769231,0.38461538461538464,1.0,1.0,1.0,0.9230769230769231,0.38461538461538464,1.0,1.0,,,,
generator,midjourney-v5,12,0,12,0.9166666666666666,0.6666666666666666,1.0,0.9166666666666666,0.9565217391304348,0.9166666666666666,0.6666666666666666,1.0,0.9166666666666666,,,,
generator,stable-diffusion-1-3,14,0,14,0.7142857142857143,0.14285714285714285,0.9285714285714286,0.8571428571428571,0.923076923076923,0.7142857142857143,0.14285714285714285,0.9285714285714286,0.8571428571428571,,,,
generator,stable-diffusion-1-4,12,0,12,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,
generator,stable-diffusion-2,15,0,15,0.7333333333333333,0.26666666666666666,0.9333333333333333,0.9333333333333333,0.9655172413793104,0.7333333333333333,0.26666666666666666,0.9333333333333333,0.9333333333333333,,,,
