epoch,train_loss,train_acc,time_sec,val_acc,val_roc_auc,val_pr_auc,val_prec,val_rec,val_f1,val_fpr,val_fnr,passed_primary_gates,passed_fallback_gates,ckpt_path
1,0.5977913901209831,0.734375,24.420112371444702,0.7248484848484849,0.9156468110948194,0.915483219554411,0.6459888059701493,0.975008799718409,0.7771075887221209,0.5173824130879345,0.024991200281590988,False,False,D:\DeepVision-Forensics\experiments\e18_global_constrained_gating\checkpoints\e18_checkpoint_epoch1.pt
2,0.35896726734936235,0.91875,21.244186639785767,0.7518614718614719,0.9191370061570436,0.9197803047147474,0.6721271393643031,0.9676170362548399,0.7932477276006347,0.4570552147239264,0.032382963745160157,False,False,
3,0.20248418729752302,0.971875,20.201180934906006,0.7771428571428571,0.9107590383965245,0.9113105509639731,0.7054468535166578,0.9391059486096445,0.8056771855654536,0.37968643490115883,0.06089405139035551,False,False,
