Model_ID,Model_Name,Architecture,Total_Images,Real_Count,AI_Count,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,FPR_on_Real,FNR_on_AI,TP,FP,TN,FN
E1_Spatial,E1 Spatial Baseline,EfficientNet-B3 (Pretrained),56,28,28,0.3750,0.1818,0.0714,0.1026,0.2277,0.3521,0.3214,0.9286,2,9,19,26
E3_Std,E3-Std Dual-Domain Candidate,Dual-Domain (Spatial + Frequency Standardization),56,28,28,0.4643,0.2500,0.0357,0.0625,0.3980,0.4114,0.1071,0.9643,1,3,25,27
