device_family,n_samples,fpr_e6c,fpr_e20,fpr_e21,fpr_e22,fpr_e23_win,fpr_e23_pure,pct_routed_e20,pct_routed_e21
Apple iPhone (iPhone X),35,5.714285714285714,0.0,5.714285714285714,5.714285714285714,5.714285714285714,5.714285714285714,94.28571428571428,5.714285714285714
"Google Pixel (Pixel 7-9 family, exact model unspecified)",30,43.333333333333336,3.3333333333333335,66.66666666666666,63.33333333333333,63.33333333333333,66.66666666666666,36.666666666666664,63.33333333333333
Samsung Galaxy (Galaxy S9),35,2.857142857142857,0.0,20.0,14.285714285714285,14.285714285714285,20.0,80.0,20.0
