benchmark,n_total,n_real,n_ai,ai_recall_e20,ai_recall_e21,ai_recall_e22,ai_recall_e23_win,ai_recall_e23_pure,real_fpr_e20,real_fpr_e21,real_fpr_e22,real_fpr_e23_win,real_fpr_e23_pure
E19 WhatsApp Subset,60,30,30,50.0,90.0,76.66666666666667,76.66666666666667,90.0,3.3333333333333335,66.66666666666666,63.33333333333333,63.33333333333333,66.66666666666666
WhatsApp N=67 Benchmark,67,34,33,39.39393939393939,66.66666666666666,63.63636363636363,63.63636363636363,66.66666666666666,35.294117647058826,55.88235294117647,55.88235294117647,55.88235294117647,55.88235294117647
