generator,n_samples,recall_e6c,recall_e20,recall_e21,recall_e22,recall_e23_win,recall_e23_pure,pct_routed_e20,pct_routed_e21
dalle2,14,42.857142857142854,14.285714285714285,92.85714285714286,92.85714285714286,92.85714285714286,92.85714285714286,21.428571428571427,78.57142857142857
dalle3,6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
firefly,14,42.857142857142854,21.428571428571427,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571,35.714285714285715,64.28571428571429
glide,13,92.3076923076923,38.46153846153847,100.0,100.0,100.0,100.0,38.46153846153847,61.53846153846154
midjourney-v5,12,91.66666666666666,66.66666666666666,100.0,91.66666666666666,91.66666666666666,100.0,66.66666666666666,33.33333333333333
stable-diffusion-1-3,14,71.42857142857143,14.285714285714285,92.85714285714286,85.71428571428571,85.71428571428571,92.85714285714286,21.428571428571427,78.57142857142857
stable-diffusion-1-4,12,100.0,33.33333333333333,100.0,100.0,100.0,100.0,33.33333333333333,66.66666666666666
stable-diffusion-2,15,73.33333333333333,26.666666666666668,93.33333333333333,93.33333333333333,93.33333333333333,93.33333333333333,33.33333333333333,66.66666666666666
