epoch,phase,train_loss,dev_roc_auc,dev_pr_auc,dev_accuracy,dev_f1,dev_precision,dev_recall,dev_fpr,dev_fnr,tp,tn,fp,fn,flux_recall,gemini_recall,sd_recall,dalle_recall,mj_recall,iphone_fpr,samsung_fpr,pixel_fpr,vivo_fpr,raise_fpr,clean_f1,whatsapp_f1,severe_jpeg_f1,peak_vram_mb
0,baseline_e6c,0.0,0.9080359693877551,0.9086936357085298,0.8203571428571429,0.8011071569790431,0.8972542072630647,0.7235714285714285,0.08285714285714285,0.2764285714285714,1013,1284,116,387,0.7663438256658596,0.5,0.684931506849315,0.42857142857142855,0.5714285714285714,0.03278688524590164,0.06323185011709602,0.0,0.09183673469387756,0.18506493506493507,0.8636363636363636,0.8900523560209425,0.6601941747572816,420.761088
1,phase1,0.3594379953371494,0.993147193877551,0.9922458628661405,0.9621428571428572,0.9615663524292966,0.9764359351988218,0.9471428571428572,0.022857142857142857,0.05285714285714286,1326,1368,32,74,0.9806295399515739,0.6071428571428571,0.9119373776908023,0.9285714285714286,1.0,0.01405152224824356,0.0,0.0,0.03571428571428571,0.06168831168831169,0.9674185463659147,0.9672544080604534,0.9567430025445293,451.367936
2,phase1,0.24249181546428838,0.9948977040816327,0.9940193619179055,0.9725,0.9723320158102766,0.9783080260303688,0.9664285714285714,0.02142857142857143,0.03357142857142857,1353,1370,30,47,0.9963680387409201,0.7142857142857143,0.9295499021526419,1.0,1.0,0.01639344262295082,0.0,0.0,0.03571428571428571,0.05194805194805195,0.9701492537313433,0.9774436090225564,0.9748743718592964,451.367936
3,phase2,0.1790835583176938,0.9939637755102041,0.9846718494463561,0.9785714285714285,0.9783705839942322,0.987627365356623,0.9692857142857143,0.012142857142857143,0.030714285714285715,1357,1383,17,43,0.9987893462469734,0.75,0.9334637964774951,0.9642857142857143,1.0,0.0,0.00234192037470726,0.0,0.025510204081632654,0.03571428571428571,0.9773299748110831,0.9797979797979798,0.9721518987341772,2395.52
4,phase2,0.11612692258539548,0.9978744897959184,0.9973437410721452,0.9853571428571428,0.9853309481216457,0.9870967741935484,0.9835714285714285,0.012857142857142857,0.016428571428571428,1377,1382,18,23,1.0,0.75,0.9686888454011742,1.0,1.0,0.0,0.0,0.0,0.0,0.05844155844155844,0.985,0.9874686716791979,0.9874686716791979,2395.52
5,phase2,0.08080435657083984,0.9960701530612245,0.9963106982475252,0.9789285714285715,0.9786926688335139,0.9897735573411249,0.9678571428571429,0.01,0.03214285714285714,1355,1386,14,45,0.9927360774818402,0.6785714285714286,0.9412915851272016,1.0,1.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.982367758186398,0.982367758186398,0.9849246231155778,2395.52
