group_field,group_value,n,n_real,n_ai,e6c_acc,e20_acc,e21_acc,e21_vs_e20_acc_delta,e21_vs_e6c_acc_delta,e6c_f1,e20_f1,e21_f1,e6c_recall,e20_recall,e21_recall,e6c_fpr,e20_fpr,e21_fpr,e6c_auc,e20_auc,e21_auc
generator,"FLUX (Flux LoRA Synthetic Corpus, exact engine unspecified)",20,0,20,0.1,0.35,0.9,0.55,0.8,0.18181818181818182,0.5185185185185185,0.9473684210526316,0.1,0.35,0.9,,,,,,
generator,Google Gemini (exact underlying model unspecified),10,0,10,0.3,0.8,0.9,0.09999999999999998,0.6000000000000001,0.4615384615384615,0.888888888888889,0.9473684210526316,0.3,0.8,0.9,,,,,,
generator,None (Camera ISP),30,30,0,0.5666666666666667,0.9666666666666667,0.3333333333333333,-0.6333333333333333,-0.23333333333333334,0.0,0.0,0.0,,,,0.43333333333333335,0.03333333333333333,0.6666666666666666,,,
