group_field,group_value,n,n_real,n_ai,e6c_acc,e20_acc,e21_acc,e21_vs_e20_acc_delta,e21_vs_e6c_acc_delta,e6c_f1,e20_f1,e21_f1,e6c_recall,e20_recall,e21_recall,e6c_fpr,e20_fpr,e21_fpr,e6c_auc,e20_auc,e21_auc
generator,camera,100,100,0,0.77,0.96,0.33,-0.6299999999999999,-0.44,0.0,0.0,0.0,,,,0.23,0.04,0.67,,,
generator,dalle2,14,0,14,0.42857142857142855,0.14285714285714285,0.9285714285714286,0.7857142857142858,0.5,0.6,0.25,0.962962962962963,0.42857142857142855,0.14285714285714285,0.9285714285714286,,,,,,
generator,dalle3,6,0,6,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
generator,firefly,14,0,14,0.42857142857142855,0.21428571428571427,0.8571428571428571,0.6428571428571428,0.42857142857142855,0.6,0.35294117647058826,0.923076923076923,0.42857142857142855,0.21428571428571427,0.8571428571428571,,,,,,
generator,glide,13,0,13,0.9230769230769231,0.38461538461538464,1.0,0.6153846153846154,0.07692307692307687,0.9600000000000001,0.5555555555555556,1.0,0.9230769230769231,0.38461538461538464,1.0,,,,,,
generator,midjourney-v5,12,0,12,0.9166666666666666,0.6666666666666666,1.0,0.33333333333333337,0.08333333333333337,0.9565217391304348,0.8,1.0,0.9166666666666666,0.6666666666666666,1.0,,,,,,
generator,stable-diffusion-1-3,14,0,14,0.7142857142857143,0.14285714285714285,0.9285714285714286,0.7857142857142858,0.2142857142857143,0.8333333333333333,0.25,0.962962962962963,0.7142857142857143,0.14285714285714285,0.9285714285714286,,,,,,
generator,stable-diffusion-1-4,12,0,12,1.0,0.3333333333333333,1.0,0.6666666666666667,0.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,,,,,,
generator,stable-diffusion-2,15,0,15,0.7333333333333333,0.26666666666666666,0.9333333333333333,0.6666666666666667,0.20000000000000007,0.846153846153846,0.4210526315789474,0.9655172413793104,0.7333333333333333,0.26666666666666666,0.9333333333333333,,,,,,
