group_field,group_value,n,n_real,n_ai,e6c_acc,e20_acc,e21_acc,e21_vs_e20_acc_delta,e21_vs_e6c_acc_delta,e6c_f1,e20_f1,e21_f1,e6c_recall,e20_recall,e21_recall,e6c_fpr,e20_fpr,e21_fpr,e6c_auc,e20_auc,e21_auc
device_family,RAISE-1k,100,100,0,0.77,0.96,0.33,-0.6299999999999999,-0.44,0.0,0.0,0.0,,,,0.23,0.04,0.67,,,
device_family,Synthbuster,100,0,100,0.74,0.34,0.95,0.6099999999999999,0.20999999999999996,0.8505747126436781,0.5074626865671642,0.9743589743589743,0.74,0.34,0.95,,,,,,
