epoch,train_loss,time_sec,val_acc,val_roc_auc,val_pr_auc,val_prec,val_rec,val_f1,val_fpr,val_fnr,passed_gates
1,0.7352595865726471,21.812113761901855,0.7,0.7625,0.8317389150881798,0.7,0.7,0.7,0.3,0.3,False
2,0.4639830350875854,17.120697259902954,0.675,0.7775,0.8325671059066369,0.6666666666666666,0.7,0.6829268292682926,0.35,0.3,False
3,0.37447341307997706,17.31504225730896,0.7,0.8,0.8556048005317954,0.6818181818181818,0.75,0.7142857142857143,0.35,0.25,False
4,0.31620278507471083,16.910597801208496,0.7,0.7875,0.8525121439330468,0.6818181818181818,0.75,0.7142857142857143,0.35,0.25,False
5,0.2904721457511187,17.315836191177368,0.7,0.79,0.8529254325816296,0.6818181818181818,0.75,0.7142857142857143,0.35,0.25,False
