Model_ID,Model_Name,Architecture,Total_Images,Real_Count,AI_Count,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,FPR_on_Real,FNR_on_AI,TP,FP,TN,FN
E1_Spatial,E1 Spatial Baseline,EfficientNet-B3 (Pretrained),76,38,38,0.3947,0.1667,0.0526,0.0800,0.2621,0.3621,0.2632,0.9474,2,10,28,36
E3_Std,E3-Std Dual-Domain Candidate,Dual-Domain (Spatial + Frequency Standardization),76,38,38,0.4868,0.4000,0.0526,0.0930,0.4619,0.4540,0.0789,0.9474,2,3,35,36
