epoch,phase,train_loss,train_det_loss,train_dom_loss,dev_loss,dev_accuracy,dev_f1,dev_roc_auc,dev_pr_auc,dev_precision,dev_recall,dev_fpr,dev_fnr,tp,tn,fp,fn
3,Phase2,0.20024217946535275,0.18393260923940002,0.3261913955448957,0.3614416239463479,0.8740690589031821,0.8607784431137725,0.9647638872062586,0.9596686405807273,0.9244372990353698,0.8053221288515406,0.061598951507208385,0.19467787114845939,575,716,47,139
4,Phase2,0.11048586186846837,0.09685139834065347,0.2726892617159274,0.3268763621824181,0.8876100203114421,0.8782991202346041,0.9674824058063592,0.9626082380657959,0.9215384615384615,0.8389355742296919,0.06684141546526867,0.16106442577030813,599,712,51,115
5,Phase2,0.06743298060058844,0.05531114834716903,0.24243664146798644,0.3373612936475165,0.8903182125930941,0.8888888888888888,0.9654889478727271,0.965254535414782,0.8709677419354839,0.907563025210084,0.1258191349934469,0.09243697478991597,648,667,96,66
